"Date","Technology","Cons.Disc","Financials","Industrials","Materials","HealthCare","Cons.Staples","Utilities","RealEstate","Energy","Comm.Serv"
2018-06-20,0.00209782921945445,0.0047300183416481,-0.00256270425314753,0.000682284859256477,-0.00325391605863068,0.00211906132262651,0.000978512657130004,0.000796590499376304,0.0107358113874705,0.00440556410388782,0.0123331708814796
2018-06-21,-0.00771326629137237,-0.00714844653055602,-0.00293663693025081,-0.0126340758436481,-0.0106916349126576,-0.00577890341997644,0.00195489125050363,0.00337880997765172,0.0059495687096347,-0.0186898130996123,-0.00614744941352807
2018-06-22,-0.00324310242580594,-0.00170547633276241,-0.00479103604625886,0.0034492862257931,0.0144583365935937,0.00448438111312122,0.00816808279644832,0.00692039493488439,0.00870375481788699,0.0197550267544329,0.00436667206864172
2018-06-25,-0.020981568064447,-0.0219787837498697,-0.010770975121901,-0.0127515194132322,-0.0156725322228133,-0.00922633643307069,0.00502295453949175,0.0164163512258062,-0.00247911052967575,-0.0202977172734111,-0.0208134092495169
2018-06-26,0.00403036305388937,0.00713711980806142,-0.0033663291878856,0.00375930564099036,0.00381157508096086,-0.00309473648846126,-0.00424856218870051,0.00116220035284664,0.00526103184673987,0.0125497524609646,0.00165707393607084
2018-06-27,-0.0137413717196533,-0.0130315580217406,-0.0124411042206232,-0.00809312246013949,-0.00311755742691666,-0.00849946504641075,-0.00213111472397598,0.00482893628440806,-0.00278192131706412,0.0133210684413902,-0.00875988548424456
2018-06-28,0.0121599599289901,0.00782109405101572,0.00868746409364229,0.00140022539082629,0.00380901290720148,0.00132163495162185,0,-0.000385727885757969,0.00985528359809518,-0.00132427074862784,0.00993000286854784
2018-06-29,-0.000431857472474206,0.00173968932619673,0,0.00209639561937536,0.00345004695888163,0.00203886956859112,-0.000582159626309586,0.00154070939810635,0.0024487571918721,0.00620844233033102,-0.00121048496183462
2018-07-02,0.00888479425745414,0.00137150571636502,0.00487706464614046,0.0022309463027339,-0.00535262385196011,0.00311034431850565,-0.00583884574358651,0.00709578497905561,-0.0058252954259066,-0.0148586406824527,0.0062394224410105
2018-07-03,-0.0119121998914653,-0.00503785087989828,-0.00902234949091429,-0.00320887533070735,-0.00173306492915026,0.0023859668534838,0.00233966752516901,0.00286239704516467,0.0058252954259066,0.00626256738717768,-0.0123149272233638
2018-07-05,0.0140500940042063,0.00494644564365077,0.0022630428271726,0.00487883999713201,0.00863421605130021,0.0103139638185317,0.013732147668069,0.00532103533551975,0.0130603654590047,-0.0010633032203029,0.015119943467826
2018-07-06,0.0116073785716444,0.00782741826572275,0.00488647951122445,0.00347071400369003,0.00497401835865929,0.0142861204134235,0.00306864124517237,0.00774091006372624,0.00421553643035066,0.00609758247064862,0.015682609823696
2018-07-09,0.007570100869422,0.011896158939293,0.0226143799196539,0.0183998112393464,0.00885700276638257,0.00729775243052888,-0.00383741058518661,-0.0313301756832507,-0.00935826356567793,0.0148229963447557,0.00569582260917345
2018-07-10,0.00237117330267367,0.00214808231959696,-0.00367238976611928,0.00312436894374102,0.00844336654345446,0.00380194549876656,0.011847964495427,0.00946425820923658,0.00484068507960433,0.0073944162517563,-0.000411493388305928
2018-07-11,-0.00390871342363575,-0.00232712591159689,-0.00479440728151026,-0.0165478513004444,-0.0169583254681256,-0.0079656527179095,-0.0032346750029717,0.00899455695086449,-0.00302282183506586,-0.0214249946994585,-0.00135260894678169
2018-07-12,0.0156830047063892,0.00660876602650662,0.00184670524266783,0.0116529185138692,0.00239134147083941,0.0110650570587909,-0.00133480872992653,0.000761698768541041,0.00241891314734399,0.00171524952743729,0.0155733812216332
2018-07-13,-0.00110239865728756,0.00222311272659415,-0.00443795013694892,0.00516567441510851,-0.000511693167842164,0.00183236421648925,0.00646743089770085,0.000190403488892876,-0.00332750681582983,0.00525927480769361,-0.00154654111812613
